time,last,close,open,high,low,count,volume,value,discarded
64617,13000,12950,0,0,0,0,0,0,0
90020,13200,12950,13200,13200,13200,1,100000,1320000000,0
90020,13200,12960,13200,13200,13200,2,200000,2640000000,0
90020,13200,12960,13200,13200,13200,3,300000,3960000000,0
90020,13200,12960,13200,13200,13200,4,400000,5280000000,0
90020,13200,12960,13200,13200,13200,5,500000,6600000000,0
90020,13200,12970,13200,13200,13200,6,600000,7920000000,0
90020,13200,12970,13200,13200,13200,7,679799,8973346800,0
90020,13200,12970,13200,13200,13200,8,721014,9517384800,0
90020,13200,12970,13200,13200,13200,9,756614,9987304800,0
90020,13200,12970,13200,13200,13200,10,785905,10373946000,0
90020,13200,12970,13200,13200,13200,11,805905,10637946000,0
90020,13200,12970,13200,13200,13200,12,825905,10901946000,0
90020,13200,12970,13200,13200,13200,13,845354,11158672800,0
90020,13200,12970,13200,13200,13200,14,864354,11409472800,0
90020,13200,12970,13200,13200,13200,15,883099,11656906800,0
90020,13200,12970,13200,13200,13200,16,898835,11864622000,0
90020,13200,12970,13200,13200,13200,17,913907,12063572400,0
90020,13200,12980,13200,13200,13200,18,928907,12261572400,0
90020,13200,12980,13200,13200,13200,19,943407,12452972400,0
90020,13200,12980,13200,13200,13200,20,957407,12637772400,0
90020,13200,12980,13200,13200,13200,21,970770,12814164000,0
90020,13200,12980,13200,13200,13200,22,982026,12962743200,0
90020,13200,12980,13200,13200,13200,23,992973,13107243600,0
90020,13200,12980,13200,13200,13200,24,1003273,13243203600,0
90020,13200,12980,13200,13200,13200,25,1013273,13375203600,0
90020,13200,12980,13200,13200,13200,26,1023273,13507203600,0
90020,13200,12980,13200,13200,13200,27,1033273,13639203600,0
90020,13200,12980,13200,13200,13200,28,1043273,13771203600,0
90020,13200,12980,13200,13200,13200,29,1053273,13903203600,0
90020,13200,12980,13200,13200,13200,30,1063273,14035203600,0
90020,13200,12980,13200,13200,13200,31,1073273,14167203600,0
90020,13200,12980,13200,13200,13200,32,1083273,14299203600,0
90020,13200,12980,13200,13200,13200,33,1092273,14418003600,0
90020,13200,12980,13200,13200,13200,34,1100044,14520580800,0
90020,13200,12980,13200,13200,13200,35,1107798,14622933600,0
90020,13200,12980,13200,13200,13200,36,1115398,14723253600,0
90020,13200,12980,13200,13200,13200,37,1122998,14823573600,0
90020,13200,12980,13200,13200,13200,38,1130528,14922969600,0
90020,13200,12980,13200,13200,13200,39,1138018,15021837600,0
90020,13200,12980,13200,13200,13200,40,1145482,15120362400,0
90020,13200,12980,13200,13200,13200,41,1152817,15217184400,0
90020,13200,12980,13200,13200,13200,42,1160148,15313953600,0
90020,13200,12980,13200,13200,13200,43,1166701,15400453200,0
90020,13200,12980,13200,13200,13200,44,1173089,15484774800,0
90020,13200,12980,13200,13200,13200,45,1179127,15564476400,0
90020,13200,12980,13200,13200,13200,46,1184410,15634212000,0
90020,13200,12980,13200,13200,13200,47,1189689,15703894800,0
90020,13200,12980,13200,13200,13200,48,1194689,15769894800,0
90020,13200,12980,13200,13200,13200,49,1199689,15835894800,0
90020,13200,12980,13200,13200,13200,50,1204689,15901894800,0
90020,13200,12980,13200,13200,13200,51,1209689,15967894800,0
90020,13200,12980,13200,13200,13200,52,1214689,16033894800,0
90020,13200,12980,13200,13200,13200,53,1219689,16099894800,0
90020,13200,12980,13200,13200,13200,54,1224355,16161486000,0
90020,13200,12980,13200,13200,13200,55,1228860,16220952000,0
90020,13200,12980,13200,13200,13200,56,1233160,16277712000,0
90020,13200,12980,13200,13200,13200,57,1237304,16332412800,0
90020,13200,12980,13200,13200,13200,58,1241304,16385212800,0
90020,13200,12980,13200,13200,13200,59,1245304,16438012800,0
90020,13200,12980,13200,13200,13200,60,1249204,16489492800,0
90020,13200,12980,13200,13200,13200,61,1253004,16539652800,0
90020,13200,12980,13200,13200,13200,62,1256769,16589350800,0
90020,13200,12980,13200,13200,13200,63,1260469,16638190800,0
90020,13200,12980,13200,13200,13200,64,1264068,16685697600,0
90020,13200,12980,13200,13200,13200,65,1267566,16731871200,0
90020,13200,12980,13200,13200,13200,66,1270766,16774111200,0
90020,13200,12980,13200,13200,13200,67,1273766,16813711200,0
90020,13200,12980,13200,13200,13200,68,1276766,16853311200,0
90020,13200,12980,13200,13200,13200,69,1279766,16892911200,0
90020,13200,12980,13200,13200,13200,70,1282766,16932511200,0
90020,13200,12980,13200,13200,13200,71,1285766,16972111200,0
90020,13200,12980,13200,13200,13200,72,1288766,17011711200,0
90020,13200,12980,13200,13200,13200,73,1291762,17051258400,0
90020,13200,12980,13200,13200,13200,74,1294262,17084258400,0
90020,13200,12980,13200,13200,13200,75,1296509,17113918800,0
90020,13200,12990,13200,13200,13200,76,1298736,17143315200,0
90020,13200,12990,13200,13200,13200,77,1300936,17172355200,0
90020,13200,12990,13200,13200,13200,78,1303135,17201382000,0
90020,13200,12990,13200,13200,13200,79,1305135,17227782000,0
90020,13200,12990,13200,13200,13200,80,1307135,17254182000,0
90020,13200,12990,13200,13200,13200,81,1309135,17280582000,0
90020,13200,12990,13200,13200,13200,82,1311135,17306982000,0
90020,13200,12990,13200,13200,13200,83,1313135,17333382000,0
90020,13200,12990,13200,13200,13200,84,1315135,17359782000,0
90020,13200,12990,13200,13200,13200,85,1317135,17386182000,0
90020,13200,12990,13200,13200,13200,86,1319135,17412582000,0
90020,13200,12990,13200,13200,13200,87,1321085,17438322000,0
90020,13200,12990,13200,13200,13200,88,1322989,17463454800,0
90020,13200,12990,13200,13200,13200,89,1324739,17486554800,0
90020,13200,12990,13200,13200,13200,90,1326339,17507674800,0
90020,13200,12990,13200,13200,13200,91,1327839,17527474800,0
90020,13200,12990,13200,13200,13200,92,1329339,17547274800,0
90020,13200,12990,13200,13200,13200,93,1330839,17567074800,0
90020,13200,12990,13200,13200,13200,94,1332326,17586703200,0
90020,13200,12990,13200,13200,13200,95,1333812,17606318400,0
90020,13200,12990,13200,13200,13200,96,1335212,17624798400,0
90020,13200,12990,13200,13200,13200,97,1336418,17640717600,0
90020,13200,12990,13200,13200,13200,98,1337518,17655237600,0
90020,13200,12990,13200,13200,13200,99,1338618,17669757600,0
90020,13200,12990,13200,13200,13200,100,1339618,17682957600,0
90020,13200,12990,13200,13200,13200,101,1340618,17696157600,0
90020,13200,12990,13200,13200,13200,102,1341618,17709357600,0
90020,13200,12990,13200,13200,13200,103,1342618,17722557600,0
90020,13200,12990,13200,13200,13200,104,1343618,17735757600,0
90020,13200,12990,13200,13200,13200,105,1344618,17748957600,0
90020,13200,12990,13200,13200,13200,106,1345618,17762157600,0
90020,13200,12990,13200,13200,13200,107,1346618,17775357600,0
90020,13200,12990,13200,13200,13200,108,1347618,17788557600,0
90020,13200,12990,13200,13200,13200,109,1348618,17801757600,0
90020,13200,12990,13200,13200,13200,110,1349498,17813373600,0
90020,13200,12990,13200,13200,13200,111,1350348,17824593600,0
90020,13200,12990,13200,13200,13200,112,1351188,17835681600,0
90020,13200,12990,13200,13200,13200,113,1352018,17846637600,0
90020,13200,12990,13200,13200,13200,114,1352818,17857197600,0
90020,13200,12990,13200,13200,13200,115,1353588,17867361600,0
90020,13200,12990,13200,13200,13200,116,1354326,17877103200,0
90020,13200,12990,13200,13200,13200,117,1355059,17886778800,0
90020,13200,12990,13200,13200,13200,118,1355792,17896454400,0
90020,13200,12990,13200,13200,13200,119,1356523,17906103600,0
90020,13200,12990,13200,13200,13200,120,1357253,17915739600,0
90020,13200,12990,13200,13200,13200,121,1357981,17925349200,0
90020,13200,12990,13200,13200,13200,122,1358681,17934589200,0
90020,13200,12990,13200,13200,13200,123,1359351,17943433200,0
90020,13200,12990,13200,13200,13200,124,1359981,17951749200,0
90020,13200,12990,13200,13200,13200,125,1360585,17959722000,0
90020,13200,12990,13200,13200,13200,126,1361185,17967642000,0
90020,13200,12990,13200,13200,13200,127,1361783,17975535600,0
90020,13200,12990,13200,13200,13200,128,1362373,17983323600,0
90020,13200,12990,13200,13200,13200,129,1362919,17990530800,0
90020,13200,12990,13200,13200,13200,130,1363439,17997394800,0
90020,13200,12990,13200,13200,13200,131,1363939,18003994800,0
90020,13200,12990,13200,13200,13200,132,1364417,18010304400,0
90020,13200,12990,13200,13200,13200,133,1364886,18016495200,0
90020,13200,12990,13200,13200,13200,134,1365333,18022395600,0
90020,13200,12990,13200,13200,13200,135,1365779,18028282800,0
90020,13200,12990,13200,13200,13200,136,1366213,18034011600,0
90020,13200,12990,13200,13200,13200,137,1366639,18039634800,0
90020,13200,12990,13200,13200,13200,138,1367057,18045152400,0
90020,13200,12990,13200,13200,13200,139,1367475,18050670000,0
90020,13200,12990,13200,13200,13200,140,1367892,18056174400,0
90020,13200,12990,13200,13200,13200,141,1368292,18061454400,0
90020,13200,12990,13200,13200,13200,142,1368692,18066734400,0
90020,13200,12990,13200,13200,13200,143,1369092,18072014400,0
90020,13200,12990,13200,13200,13200,144,1369492,18077294400,0
90020,13200,12990,13200,13200,13200,145,1369892,18082574400,0
90020,13200,12990,13200,13200,13200,146,1370291,18087841200,0
90020,13200,12990,13200,13200,13200,147,1370687,18093068400,0
90020,13200,12990,13200,13200,13200,148,1371083,18098295600,0
90020,13200,12990,13200,13200,13200,149,1371478,18103509600,0
90020,13200,12990,13200,13200,13200,150,1371869,18108670800,0
90020,13200,12990,13200,13200,13200,151,1372256,18113779200,0
90020,13200,12990,13200,13200,13200,152,1372639,18118834800,0
90020,13200,12990,13200,13200,13200,153,1373020,18123864000,0
90020,13200,12990,13200,13200,13200,154,1373399,18128866800,0
90020,13200,12990,13200,13200,13200,155,1373769,18133750800,0
90020,13200,12990,13200,13200,13200,156,1374132,18138542400,0
90020,13200,12990,13200,13200,13200,157,1374493,18143307600,0
90020,13200,12990,13200,13200,13200,158,1374852,18148046400,0
90020,13200,12990,13200,13200,13200,159,1375195,18152574000,0
90020,13200,12990,13200,13200,13200,160,1375538,18157101600,0
90020,13200,12990,13200,13200,13200,161,1375865,18161418000,0
90020,13200,12990,13200,13200,13200,162,1376188,18165681600,0
90020,13200,12990,13200,13200,13200,163,1376470,18169404000,0
90020,13200,12990,13200,13200,13200,164,1376713,18172611600,0
90020,13200,12990,13200,13200,13200,165,1376841,18174301200,0
90020,13200,12990,13200,13200,13200,166,1376930,18175476000,0
90020,13200,12990,13200,13200,13200,167,1377012,18176558400,0
90020,13200,12990,13200,13200,13200,168,1377086,18177535200,0
90020,13200,12990,13200,13200,13200,169,1377152,18178406400,0
90020,13200,12990,13200,13200,13200,170,1377209,18179158800,0
90020,13200,12990,13200,13200,13200,171,1377263,18179871600,0
90020,13200,12990,13200,13200,13200,172,1377317,18180584400,0
90020,13200,12990,13200,13200,13200,173,1377370,18181284000,0
90020,13200,12990,13200,13200,13200,174,1377421,18181957200,0
90020,13200,12990,13200,13200,13200,175,1377463,18182511600,0
90020,13200,12990,13200,13200,13200,176,1377505,18183066000,0
90020,13200,12990,13200,13200,13200,177,1377542,18183554400,0
90020,13200,12990,13200,13200,13200,178,1377579,18184042800,0
90020,13200,12990,13200,13200,13200,179,1377602,18184346400,0
90020,13200,12990,13200,13200,13200,180,1377623,18184623600,0
90020,13200,12990,13200,13200,13200,181,1377643,18184887600,0
90020,13200,12990,13200,13200,13200,182,1377662,18185138400,0
90020,13200,12990,13200,13200,13200,183,1377677,18185336400,0
90020,13200,12990,13200,13200,13200,184,1377690,18185508000,0
90020,13200,12990,13200,13200,13200,185,1377702,18185666400,0
90020,13200,12990,13200,13200,13200,186,1377711,18185785200,0
90020,13200,12990,13200,13200,13200,187,1377718,18185877600,0
90020,13200,12990,13200,13200,13200,188,1377725,18185970000,0
90020,13200,12990,13200,13200,13200,189,1377730,18186036000,0
90020,13200,12990,13200,13200,13200,190,1377734,18186088800,0
90020,13200,12990,13200,13200,13200,191,1377738,18186141600,0
90020,13200,12990,13200,13200,13200,192,1377741,18186181200,0
90020,13200,12990,13200,13200,13200,193,1377744,18186220800,0
90020,13200,12990,13200,13200,13200,194,1377746,18186247200,0
90020,13200,12990,13200,13200,13200,195,1377748,18186273600,0
90020,13200,12990,13200,13200,13200,196,1377749,18186286800,0
90020,13200,12990,13200,13200,13200,197,1377750,18186300000,0
90023,13200,12990,13200,13200,13200,198,1381321,18233437200,0
90023,13140,12990,13200,13200,13140,199,1385209,18284525520,0
90024,13140,12990,13200,13200,13140,200,1481321,19547437200,0
90024,13140,12990,13200,13200,13140,201,1481811,19553875800,0
90024,13140,12990,13200,13200,13140,202,1482811,19567015800,0
90024,13140,12990,13200,13200,13140,203,1485209,19598525520,0
90026,13180,12990,13200,13200,13140,204,1486009,19609069520,0
90029,13140,12990,13200,13200,13140,205,1486622,19617124340,0
90031,13140,12990,13200,13200,13140,206,1503611,19840359800,0
90031,13140,12990,13200,13200,13140,207,1523234,20098206020,0
90032,13140,12990,13200,13200,13140,208,1524013,20108442080,0
90032,13130,12990,13200,13200,13130,209,1527884,20159268310,0
90033,13140,12990,13200,13200,13130,210,1540493,20324950570,0
90033,13140,12990,13200,13200,13130,211,1573493,20758570570,0
90033,13140,12990,13200,13200,13130,212,1574493,20771710570,0
90033,13140,12990,13200,13200,13130,213,1627884,21473268310,0
90035,13130,12990,13200,13200,13130,214,1630251,21504347020,0
90035,13130,12990,13200,13200,13130,215,1631251,21517477020,0
90037,13140,12990,13200,13200,13130,216,1637251,21596317020,0
90037,13140,12990,13200,13200,13130,217,1641460,21651623280,0
90037,13140,12990,13200,13200,13130,218,1641860,21656879280,0
90037,13140,12990,13200,13200,13130,219,1651217,21779830260,0
90037,13140,12990,13200,13200,13130,220,1660304,21899233440,0
90037,13130,12990,13200,13200,13130,221,1666304,21978013440,0
90038,13130,12990,13200,13200,13130,222,1689723,22285504910,0
90040,13130,12990,13200,13200,13130,223,1761304,23225363440,0
90040,13130,13000,13200,13200,13130,224,1789723,23598504910,0
90041,13130,13000,13200,13200,13130,225,1790723,23611634910,0
90041,13130,13000,13200,13200,13130,226,1797723,23703544910,0
90041,13130,13000,13200,13200,13130,227,1799223,23723239910,0
