,Unnamed: 0,ticker,pe,tmin,tmax,cs,bvol
260,260,وساخت,29.02,46580,51480,70,436118
261,261,کهربا,,9172,11210,68,1
262,262,کهرام,-92.99,109686,116470,49,88514
264,264,وغدیر,12.12,13620,15040,39,7984032
265,265,زشگزا,16.43,5579,6165,1,2522705
266,266,میهن,-4.32,3431,3791,66,4316547
267,267,زشریف,14.88,4559,5037,1,3101096
268,268,خبهمن,13.18,1297,1433,34,53855187
269,269,باران,21.82,4029,4453,66,2361833
270,270,سشرق,14.81,7400,8160,53,1882058
271,271,سدشت,64.29,50540,55840,53,472000
272,272,جم پیلن,7.34,95780,105860,44,800000
273,273,سدور,28.44,8950,9890,53,1524390
274,274,داراب,202.75,2361,2505,44,4110153
275,275,شکربن,12.63,95360,105380,44,152161
276,276,وتعاون,12.78,4748,5040,66,2011264
277,277,سپرمی,-5.7,9068,9250,54,272956
278,278,ثروت,,208800,255200,68,1
279,279,کیمیا,7.63,13248,14642,27,1075886
280,280,مبین,10.02,17520,19360,40,6204757
281,281,رکیش,34.79,6290,6950,72,2520000
282,282,خفنر,31.98,7340,8100,34,1854141
283,283,حخزر,18.84,22478,24844,61,618659
284,284,کزغال,8.3,33834,37394,10,800000
285,285,وبصادر,3.05,1942,2146,57,59084195
286,286,کساپا,271.45,18500,20440,54,800854
287,287,وبوعلی,2.72,3887,4295,56,3637245
288,288,کاسپین,10.55,18663,20627,43,754680
289,289,سیمرغ,8.86,16340,18040,1,887574
290,290,غسالم,25.43,3199,3535,42,4503152
291,291,الماس,,101474,124022,68,1
292,292,حفاری,3.81,5440,6000,11,3600000
293,293,شپلی,-3843.33,11300,11760,44,1428392
294,294,ثزاگرس,607.64,50222,55508,70,189162
295,295,فخوز,6.12,15820,17480,27,7159905
296,296,کسعدی,17.79,10480,11580,49,1357466
297,297,دلقما,14.11,40770,45050,43,356464
298,298,پلوله,12.87,28511,30273,25,345722
299,299,خکرمان,44.45,3552,3770,34,2812149
301,301,سهرمز,11.5,15680,17320,53,869061
302,302,تیپیکو,10.86,20250,22370,43,4400000
303,303,ما,5.54,7860,8680,66,1863354
304,304,بزاگرس,29.34,4431,4897,40,3255915
305,305,فروی,12.08,30713,33945,27,469866
306,306,نمرینو,78.04,97430,107670,17,139991
307,307,آکورد,,30052,36730,68,1
309,309,حرهشا,-171.76,63843,67791,60,152015
310,310,ومدیر,2.1,4041,4465,56,3600000
311,311,ثجوان,-696.92,9059,9619,70,1103753
312,312,لبوتان,12.56,47100,52040,29,296443
313,313,کگهر,19.02,42747,47245,13,2589780
314,314,تکمبا,33.14,6840,7540,29,2155172
315,315,فجام,14.26,6720,7420,28,2205882
316,316,ستران,16.0,24370,26930,53,700000
317,317,ثفارس,91.04,6730,7430,70,2139800
318,318,شسینا,26.81,64420,71200,44,217202
319,319,شتهران,3.56,6880,7452,43,697740
320,320,ولشرق,16.29,5749,6353,65,2530365
321,321,ارمغان,,9123,11149,68,1
322,322,غشان,29.31,5830,6430,42,2347418
323,323,خوساز,32.51,6600,7280,34,2068966
324,324,ساوه,9.8,55628,61482,53,260000
325,325,جم,7.27,41560,45920,44,2184837
326,326,سبهان,12.1,65550,72450,53,218531
328,328,کلوند,10.14,21790,24070,49,648508
329,329,پیزد,10.2,69466,76778,25,205106
330,330,خزر,32.11,16420,18140,34,910747
331,331,ثنوسا,32.21,8100,8940,70,1770956
332,332,زر,,46124,56372,68,1
333,333,وپارس,-17.45,2584,2854,57,44085231
334,334,دجابر,16.14,11590,12790,43,1279863
335,335,زپارس,32.97,115860,128040,1,130136
336,336,میدکو,,39900,44080,27,2783577
337,337,واتی,6.65,10500,11600,56,1800000
338,338,دشیمی,11.08,22320,24660,43,652458
339,339,غشهداب,11.77,3355,3707,42,4439184
340,340,بجهرم,26.51,2305,2547,40,9658133
341,341,شراز,5.34,102200,112956,23,411020
342,342,غپونه,36.44,16679,17709,42,564685
343,343,خچرخش,200.2,10080,11140,34,1469148
344,344,سمازن,8.4,13560,14980,53,1037344
345,345,رنیک,16.92,17017,18807,74,864255
346,346,آگاس,,71288,87128,68,1
348,348,ونفت,11.43,14720,16260,23,925926
349,349,غپاک,162.41,16860,18620,42,855188
350,350,عیار,,26485,32369,68,1
351,351,قاسم,14.21,8465,9355,47,1730304
352,352,برکت,95.26,35780,39540,43,2320000
353,353,دتماد,8.26,44040,48660,43,319898
354,354,فاما,10.08,16990,18770,28,876168
355,355,کمند,,9139,11169,68,1
356,356,سفاسی,250.87,7309,7761,54,1328728
357,357,ساربیل,14.87,37020,40900,53,397667
358,358,غاذر,35.27,24700,27280,42,594766
359,359,شپاس,8.51,16384,18108,23,960000
360,360,ومشان,1896.0,74143,78729,65,128641
361,361,حفارس,12.53,3034,3352,60,4696306
362,362,فملی,8.75,12820,14160,27,8559201
363,363,فماک,282.72,1,999999,27,1
364,364,سپاها,10.08,8360,9220,53,1696833
365,365,کگل,11.18,21110,23330,13,5242464
367,367,شیران,7.51,24480,27040,44,3840246
368,368,سرچشمه,9.45,6388,7060,56,2197803
369,369,قشکر,-194.06,2866,3166,38,4830918
371,371,آسام,,107047,130835,68,1
372,372,قشرین,821.09,17785,18885,38,529521
373,373,اعتلا,4.43,6678,7380,56,2103492
374,374,وسزنجان,-28.4,1349,1491,56,18821077
375,375,شفا,12.36,35170,38870,43,471772
376,376,سنوین,7.0,7279,8045,56,1314579
377,377,وصندوق,7.96,16320,18020,39,6696429
378,378,بذر,,90910,111110,68,1
379,379,سیدکو,8.67,6900,7620,53,2400000
380,380,توریل,23.91,12278,13570,60,1280000
381,381,وساپا,5.96,4773,5275,56,4270000
382,382,قشهد,17.1,15930,17590,38,914634
383,383,آبادا,30.45,11500,12700,40,1234568
384,384,غویتا,23.0,7597,8395,42,1786778
385,385,خدیزل,13.1,50981,56347,34,400000
387,387,کرماشا,10.3,40460,44700,44,1411680
388,388,فاذر,604.5,1188,1312,28,12406948
389,389,شتوکا,15.52,32680,36120,44,415283
390,390,شیراز,10.76,64640,71440,44,1428776
391,391,ثهام,,9530,11646,68,1
392,392,آرمان,-46.5,6364,6756,66,1525321
393,393,شلعاب,627.86,8180,9040,44,1706485
394,394,خمحرکه,13.27,3697,4085,34,3924647
395,395,سپاس,,9139,11169,68,1
396,396,نیرو,16.88,48555,51557,31,199829
397,397,قرن,16.54,28370,31350,44,800000
398,398,اتکای,10.08,8997,9943,66,1621096
399,399,شرنگی,13.47,202401,214919,44,46578
400,400,وثخوز,568.72,64295,71061,70,147759
401,401,دروز,196.05,28820,31840,43,487329
402,402,قصفها,29.43,91520,101140,38,161603
403,403,رانفور,12.08,5560,6140,72,11200000
404,404,شدوص,12.09,22070,24390,44,664305
405,405,ثاژن,469.8,9022,9772,70,532142
