,Unnamed: 0,ticker,pe,tmin,tmax,cs,bvol
547,547,آپ,38.42,10830,11950,72,2220000
548,548,فتوسا,12.5,13636,15070,27,1000134
549,549,وسقم,41.38,1337,1477,56,20926596
550,550,لسرما,9.73,18620,20560,29,765306
551,551,وسگیلا,-13.73,570,628,56,59805068
552,552,سخواف,-321.16,15577,16539,53,622743
553,553,کباده,5.47,8716,9254,54,1112967
554,554,لخانه,37.42,22489,24855,29,423568
555,555,فنورد,7.83,186370,205970,27,75984
556,556,شلرد,-259.25,7848,8332,44,3600000
557,557,دفارا,10.26,15860,17520,43,856164
558,558,شکبیر,6.56,83287,88437,44,1151623
559,559,وسین,7.9,3395,3605,66,2857143
560,560,وکادو,26.4,18408,19546,56,534160
561,561,حاریا,-1547.64,16686,17366,61,293704
562,562,قلرست,15.3,31000,34260,38,459700
563,563,خموتور,17.35,8870,9790,34,1592357
564,564,غگیلا,61.62,22527,24897,42,602531
565,565,وصنعت,4.5,5080,5600,56,2830189
566,566,غگز,-26.66,1,999999,42,1
567,567,وجامی,16.69,12349,13111,56,803084
568,568,پلاسک,18.76,6170,6810,25,2365931
569,569,گنجین,,12041,14715,68,1
570,570,اوصتا,,17458,21336,68,1
571,571,فنوال,8.13,22240,24580,27,637213
572,572,والبر,9.13,8360,9240,43,3360040
573,573,سمتاز,14.41,25945,27549,53,400000
574,574,خفناور,-754.87,45967,48809,34,213667
575,575,شکف,-40.67,97413,101389,44,100000
576,576,فرابورس,29.53,18430,20370,67,2800000
577,577,امین,10.38,7220,7980,67,4400000
578,578,ومعادن,11.01,11030,12190,13,9884679
580,580,ومهان,7.01,14231,15727,56,4000000
581,581,لوتوس,7.93,7600,8400,67,3600000
582,582,خکار,9.1,15520,17140,34,957854
583,583,ارفع,6.97,15048,16630,27,4800000
584,584,فنفت,17.89,27166,28846,27,347114
585,585,وسکرشا,-5.22,717,791,56,34275468
586,586,گنگین,11.49,18398,19534,55,1200000
587,587,وپترو,12.21,12510,13810,44,1129518
588,588,سخند,3.47,9068,11082,68,1
589,589,پرداخت,12.57,18810,20790,72,1200000
590,590,ثاباد,96.8,47470,52450,70,300300
591,591,شسم,35.86,94399,98251,44,51600
592,592,وثوق,58.96,17423,18499,65,569120
593,593,گپارس,260.94,110255,117073,55,88919
594,594,نوین,3.54,5045,5575,66,2849545
595,595,غشاذر,50.94,6830,7530,42,2133713
596,596,شاوان,5.38,88735,98075,23,457369
597,597,کاوه,7.22,17480,19320,27,5321980
598,598,دالبر,9.72,11500,12700,43,1235585
599,599,حکشتی,46.99,15810,17470,60,7194245
600,600,فلات,54.61,14207,15085,56,683247
601,601,سقاین,10.5,60450,66810,53,230769
602,602,وهنر,69.73,7238,7684,90,1340303
603,603,شپارس,34.64,13750,15190,44,1025992
604,604,مانی,,10000,10000,68,1
605,605,دابور,9.63,23950,26470,43,566679
606,606,ولکار,12.64,4045,4469,58,3553660
607,607,غشصفا,34.57,26310,29070,42,560538
608,608,سلار,61.3,34866,37022,53,274183
609,609,دارا,,9027,11033,68,1
610,610,شکلر,25.26,36750,40610,44,373042
611,611,دارا یکم,,102690,125490,68,1
612,612,تکشا,9.52,26650,29450,29,560748
613,613,کگاز,18.77,16660,18400,54,823723
614,614,غکورش,10.64,39090,43190,42,1200000
615,615,سایرا,-97.53,37467,38995,54,130784
616,616,ونیرو,8.28,2475,2735,40,5882353
617,617,پاکشو,20.79,5230,5770,44,19200000
618,618,بالبر,-734.03,43320,47860,31,329598
619,619,کی بی سی,374.13,23868,26380,43,589600
620,620,دشیری,35.2,197786,210020,43,50383
621,621,ثنور,13.71,7817,8299,70,1238697
622,622,لابسا,8.56,34930,38590,29,415282
623,623,قنیشا,38.47,55490,61330,38,269493
624,624,ثشاهد,11.33,13020,14380,70,1602653
625,625,کقزوی,46.3,7351,7805,54,1333156
626,626,وسیزد,26.12,1216,1344,56,23805456
627,627,پاسا,7.43,19050,21050,25,757193
628,628,حبندر,15.83,32953,34991,60,285919
629,629,اپرداز,16.95,18186,20100,73,772241
630,630,خشرق,62.51,12450,13750,34,1095690
631,631,وتجارت,3.78,2354,2600,57,48979592
632,632,فنرژی,-3.22,15300,15924,28,313992
633,633,وسکرمان,-52.73,529,583,56,70576211
634,634,دقاضی,11.35,26350,27978,43,357769
635,635,ساینا,128.94,88785,98129,44,156153
636,636,سدبیر,12.16,42950,47470,56,334949
637,637,چفیبر,47.43,6720,7420,20,2196193
638,638,فجوش,-0.16,1486,1576,28,6531679
639,639,بپیوند,29.27,10438,11536,40,1363017
640,640,نطرین,34.38,7829,8653,17,1833293
642,642,خکاوه,47.26,4329,4595,34,2299909
643,643,غگلستا,58.05,22090,24414,42,652515
644,644,سرو,,65510,80050,68,1
645,645,وکبهمن,9.01,10037,11093,56,1403969
646,646,فایرا,6.91,14410,15910,27,3851896
647,647,گوهران,4.81,4752,5252,56,3000000
648,648,کاردان,,168310,205710,68,1
649,649,شفن,5.05,336490,371910,44,268911
650,650,فردا,,10047,12279,68,1
651,651,سکرد,33.06,6000,6620,53,2351097
652,652,لخزر,10.22,114090,126090,29,126337
653,653,شزنگ,185.75,123254,136228,23,80836
654,654,مدیر,,8307,10153,68,1
655,655,کتوکا,29.71,28621,31633,54,497975
656,656,وساشرقی,-16.58,761,841,56,81791146
657,657,خودرو,-4.09,1901,2101,34,60882801
658,658,مداران,22.41,21080,23280,72,707547
659,659,فافزا,33.99,40993,43527,27,233700
660,660,فیروزه,,145170,177410,68,1
661,661,تشتاد,512.06,7732,8210,34,1220555
662,662,دماوند,48.84,24709,27309,40,2208000
663,663,شتولی,-6.26,30877,32137,44,158857
664,664,سبجنو,10.24,39990,44190,53,363020
665,665,ددام,12.14,11390,12570,43,1266892
666,666,ثامان,-346.41,13480,14880,70,1110289
667,667,فوکا,16.73,14709,15617,27,2389891
668,668,گکوثر,-144.06,2321,2565,55,6124949
669,669,آساس,,154143,188397,68,1
670,670,فاسمین,7.29,16200,17900,27,2400000
671,671,دتوزیع,12.01,25914,28640,43,566658
672,672,فباهنر,8.56,24510,27070,27,1050000
673,673,اعتماد,,34096,41672,68,1
674,674,ولانا,41.15,22653,24053,65,416095
675,675,قپیرا,21.2,6780,7480,38,2118644
677,677,رمپنا,36.87,17120,18920,74,6521739
678,678,زنگان,30.42,55962,61852,27,259624
679,679,کهمدا,11.92,8990,9930,54,1530612
680,680,سخزر,13.34,22680,25060,53,627615
682,682,پادا,,100021,122247,68,1
683,683,پالایش,,62630,76530,68,1
685,685,اگ00068,,912000,1008000,69,1
687,687,دارو,12.92,24070,26590,43,603622
688,688,وتوس,38.62,11350,12530,70,1273345
689,689,صنوین,,100300,122580,68,1
691,691,فپنتا,7.15,437820,483900,27,32119
692,692,شبصیر,7.2,83131,91881,44,200000
693,693,همراه,9.84,8930,9870,64,12889366
694,694,ثباغ,71.89,11044,12206,70,1346137
695,695,رافزا,13.0,71299,78803,72,199955
697,697,پارتا,12.82,27790,29508,25,880800
699,699,کاریس,,12007,14675,68,1
700,700,دیران,21.73,17760,19620,43,811249
701,701,پترول,2.86,10250,11310,44,10000000
702,702,بشهاب,18.84,89330,98730,31,160222
703,703,اوان,55.73,31705,35041,73,449318
704,704,البرز,4.32,2601,2873,66,11539542
705,705,ختوقا,16.08,2097,2317,34,6909258
706,706,فکمند,,22860,24274,28,414440
707,707,دپارس,9.9,35800,39560,43,416435
708,708,هرمز,5.89,14478,16002,27,7907743
709,709,پارند,,10152,12406,68,1
710,710,شخارک,7.81,45060,49800,44,2012477
711,711,بگیلان,32.72,18426,20364,40,1720000
712,712,داریک,,9854,12042,68,1
713,713,زقیام,18.53,17739,19605,1,842319
715,715,دبالک,20.24,13876,15336,43,1033557
717,717,غبهار,33.33,16684,17714,42,589519
718,718,ثروتم,,76745,93799,68,1
719,719,ولصنم,13.66,7290,8050,58,1913265
720,720,غصینو,42.92,44175,48823,42,1727500
721,721,سپ,34.64,25940,28660,72,2000000
722,722,شپترو,56.1,4280,4544,44,2208000
